entry_time,exit_time,direction,entry,sl,tp,exit_price,outcome,profit,pattern,reason
2025-12-22 02:00:00,2025-12-23 02:00:00,BUY,4355.22,4325.75,4443.62,4443.62,TP,88.2,S433 AI Gold Star 123 (Coppock),
2025-12-24 06:00:00,2025-12-26 18:00:00,SELL,4493.22,4539.88,4353.23,4539.88,SL,-46.86,S433 AI Gold Star 123 (Coppock),
2025-12-27 02:00:00,2025-12-29 02:00:00,BUY,4531.58,4482.46,4678.94,4527.21,FLIP,-4.57,S433 AI Gold Star 123 (Coppock),
2025-12-29 02:00:00,2025-12-29 18:00:00,SELL,4527.21,4574.91,4384.12,4384.12,TP,142.89,S433 AI Gold Star 123 (Coppock),
2025-12-31 10:00:00,2026-01-07 06:00:00,BUY,4331.22,4250.5,4573.39,4474.84,FLIP,143.42,S433 AI Gold Star 123 (Coppock),
2026-01-07 06:00:00,2026-01-09 10:00:00,SELL,4474.84,4525.23,4323.66,4470.17,FLIP,4.47,S433 AI Gold Star 123 (Coppock),
2026-01-09 10:00:00,2026-01-12 06:00:00,BUY,4470.17,4428.7,4594.57,4594.57,TP,124.2,S433 AI Gold Star 123 (Coppock),
2026-01-13 10:00:00,2026-01-13 18:00:00,SELL,4580.69,4628.78,4436.42,4628.78,SL,-48.29,S433 AI Gold Star 123 (Coppock),
2026-01-19 02:00:00,2026-01-21 06:00:00,BUY,4672.45,4618.76,4833.51,4833.51,TP,160.86,S433 AI Gold Star 123 (Coppock),
2026-01-21 22:00:00,2026-01-22 18:00:00,SELL,4781.24,4841.21,4601.32,4841.21,SL,-60.17,S433 AI Gold Star 123 (Coppock),
2026-01-22 22:00:00,2026-01-23 06:00:00,BUY,4911.71,4833.75,5145.58,4952.04,FLIP,40.13,S433 AI Gold Star 123 (Coppock),
2026-01-23 06:00:00,2026-01-23 18:00:00,SELL,4952.04,5030.72,4716.0,4960.56,FLIP,-8.72,S433 AI Gold Star 123 (Coppock),
2026-01-23 18:00:00,2026-01-26 22:00:00,BUY,4960.56,4887.45,5179.88,5028.77,FLIP,68.01,S433 AI Gold Star 123 (Coppock),
2026-01-26 22:00:00,2026-01-27 10:00:00,SELL,5028.77,5097.19,4823.51,5097.19,SL,-68.62,S433 AI Gold Star 123 (Coppock),
2026-01-28 06:00:00,2026-01-29 02:00:00,BUY,5235.04,5148.59,5494.38,5494.38,TP,259.14,S433 AI Gold Star 123 (Coppock),
2026-01-29 18:00:00,2026-01-29 22:00:00,SELL,5183.22,5347.94,4689.05,5347.94,SL,-164.92,S433 AI Gold Star 123 (Coppock),
2026-02-03 02:00:00,2026-02-05 06:00:00,BUY,4774.14,4453.56,5735.88,4881.37,FLIP,107.03,S433 AI Gold Star 123 (Coppock),
2026-02-05 06:00:00,2026-02-06 22:00:00,SELL,4881.37,5047.72,4382.33,4957.53,FLIP,-76.36,S433 AI Gold Star 123 (Coppock),
2026-02-06 22:00:00,2026-02-10 14:00:00,BUY,4957.53,4781.75,5484.88,5056.02,FLIP,98.29,S433 AI Gold Star 123 (Coppock),
2026-02-10 14:00:00,2026-02-12 14:00:00,SELL,5056.02,5144.21,4791.44,5063.95,FLIP,-8.13,S433 AI Gold Star 123 (Coppock),
2026-02-12 14:00:00,2026-02-12 18:00:00,BUY,5063.95,4995.51,5269.28,5060.22,FLIP,-3.93,S433 AI Gold Star 123 (Coppock),
2026-02-12 18:00:00,2026-02-14 02:00:00,SELL,5060.22,5129.74,4851.66,5041.35,FLIP,18.67,S433 AI Gold Star 123 (Coppock),
2026-02-14 02:00:00,2026-02-16 06:00:00,BUY,5041.35,4951.71,5310.28,4987.56,FLIP,-53.99,S433 AI Gold Star 123 (Coppock),
2026-02-16 06:00:00,2026-02-16 10:00:00,SELL,4987.56,5075.61,4723.41,5007.33,FLIP,-19.97,S433 AI Gold Star 123 (Coppock),
2026-02-16 10:00:00,2026-02-17 10:00:00,BUY,5007.33,4917.69,5276.25,4917.12,FLIP,-90.41,S433 AI Gold Star 123 (Coppock),
2026-02-17 10:00:00,2026-02-18 18:00:00,SELL,4917.12,4989.48,4700.04,4997.91,FLIP,-80.99,S433 AI Gold Star 123 (Coppock),
2026-02-18 18:00:00,2026-02-20 14:00:00,BUY,4997.91,4921.82,5226.18,5017.47,FLIP,19.36,S433 AI Gold Star 123 (Coppock),
2026-02-20 14:00:00,2026-02-20 18:00:00,SELL,5017.47,5076.6,4840.07,5042.49,FLIP,-25.22,S433 AI Gold Star 123 (Coppock),
2026-02-20 18:00:00,2026-02-24 02:00:00,BUY,5042.49,4977.92,5236.19,5236.19,TP,193.5,S433 AI Gold Star 123 (Coppock),
2026-02-24 10:00:00,2026-02-26 18:00:00,SELL,5179.31,5253.15,4957.78,5185.8,FLIP,-6.69,S433 AI Gold Star 123 (Coppock),
2026-02-26 18:00:00,2026-02-27 14:00:00,BUY,5185.8,5120.01,5383.18,5185.6,FLIP,-0.4,S433 AI Gold Star 123 (Coppock),
2026-02-27 14:00:00,2026-02-27 18:00:00,SELL,5185.6,5239.88,5022.76,5239.36,FLIP,-53.96,S433 AI Gold Star 123 (Coppock),
