SIM_Open_Time,MT5_Open_Time,SIM_Close_Time,MT5_Close_Time,SIM_TF,SIM_Type,MT5_Type,SIM_Entry,MT5_Price,SIM_SL,MT5_SL,SIM_TP,MT5_TP,SIM_Lot,MT5_Volume,SIM_P&L,MT5_P&L,SIM_Balance,MT5_Comment,MT5_Position_ID,Matched,SIM_Reason
2026-07-06 06:28:00,,2026-07-06 06:28:00,,M1,BUY,,4188.49,,4188.22,,4189.86,,0.95,,130.15,,1406.78,,,False,TP
2026-07-06 06:30:00,,2026-07-06 06:30:00,,M1,BUY,,4198.56,,4198.16,,4200.58,,0.7,,-28.0,,1378.78,,,False,SL
2026-07-06 06:53:00,,2026-07-06 06:56:00,,M1,SELL,,4178.6,,4183.81,,4175.54,,0.05,,-26.05,,1352.73,,,False,SL
2026-07-06 06:58:00,,2026-07-06 06:59:00,,M1,BUY,,4188.43,,4183.15,,4191.1,,0.05,,-26.4,,1326.33,,,False,SL
2026-07-06 07:05:00,,2026-07-06 07:16:00,,M1,SELL,,4178.36,,4178.99,,4168.68,,0.42,,-26.46,,1433.17,,,False,SL
2026-07-06 07:05:00,,2026-07-06 07:45:00,,M5,SELL,,4178.16,,4188.64,,4168.94,,0.03,,-31.44,,1442.21,,,False,SL
2026-07-06 07:12:00,,2026-07-06 07:12:00,,M1,SELL,,4178.73,,4179.35,,4175.63,,0.43,,133.3,,1459.63,,,False,TP
2026-07-06 07:14:00,,2026-07-06 07:16:00,,M1,SELL,,4178.07,,4179.0,,4168.66,,0.31,,-28.83,,1404.34,,,False,SL
2026-07-06 07:20:00,,2026-07-06 07:25:00,,M1,SELL,,4178.38,,4180.93,,4175.51,,0.11,,31.57,,1500.35,,,False,TP
2026-07-06 07:21:00,,2026-07-06 07:21:00,,M1,BUY,,4177.64,,4176.47,,4180.39,,0.24,,-28.08,,1376.26,,,False,SL
2026-07-06 07:22:00,,2026-07-06 07:25:00,,M1,BUY,,4177.94,,4174.92,,4180.68,,0.09,,-27.18,,1473.17,,,False,SL
2026-07-06 07:23:00,,2026-07-06 07:25:00,,M1,SELL,,4178.11,,4180.59,,4175.43,,0.11,,29.48,,1502.65,,,False,TP
2026-07-06 07:24:00,,2026-07-06 07:24:00,,M1,SELL,,4178.45,,4179.21,,4175.88,,0.36,,92.52,,1468.78,,,False,TP
2026-07-06 07:25:00,,2026-07-06 07:25:00,,M5,BUY,,4178.44,,4172.64,,4184.58,,0.05,,-29.0,,1473.65,,,False,SL
2026-07-06 07:41:00,,2026-07-06 07:52:00,,M1,BUY,,4188.25,,4181.96,,4190.78,,0.05,,-31.45,,1716.2,,,False,SL
2026-07-06 07:50:00,,2026-07-06 07:50:00,,M1,SELL,,4188.46,,4188.92,,4186.17,,0.63,,144.27,,1586.48,,,False,TP
2026-07-06 07:51:00,,2026-07-06 07:51:00,,M1,SELL,,4188.3,,4188.75,,4186.03,,0.71,,161.17,,1747.65,,,False,TP
2026-07-06 08:05:00,,2026-07-06 08:35:00,,M5,BUY,,4178.59,,4168.89,,4198.65,,0.04,,80.24,,1728.96,,,False,TP
2026-07-06 08:21:00,,2026-07-06 08:21:00,,M1,BUY,,4188.82,,4185.43,,4192.5,,0.1,,-33.9,,1682.3,,,False,SL
2026-07-06 08:24:00,,2026-07-06 08:28:00,,M1,SELL,,4188.08,,4188.81,,4178.43,,0.46,,-33.58,,1648.72,,,False,SL
2026-07-06 08:49:00,,2026-07-06 08:49:00,,M1,BUY,,4197.92,,4197.29,,4201.09,,0.55,,-34.65,,1694.31,,,False,SL
2026-07-06 08:50:00,,2026-07-06 08:55:00,,M5,SELL,,4197.85,,4206.79,,4188.43,,0.04,,37.68,,1731.99,,,False,TP
2026-07-06 09:25:00,,2026-07-06 10:00:00,,M5,SELL,,4178.4,,4189.81,,4168.29,,0.03,,30.33,,1658.21,,,False,TP
2026-07-06 09:33:00,,2026-07-06 10:02:00,,M1,SELL,,4178.97,,4179.52,,4168.66,,0.63,,649.53,,2274.46,,,False,TP
2026-07-06 09:40:00,,2026-07-06 10:02:00,,M1,SELL,,4178.54,,4179.09,,4168.34,,0.63,,642.6,,2917.06,,,False,TP
2026-07-06 09:47:00,,2026-07-06 09:48:00,,M1,BUY,,4178.2,,4173.02,,4180.79,,0.07,,-36.26,,1695.73,,,False,SL
2026-07-06 09:50:00,,2026-07-06 09:58:00,,M1,BUY,,4178.53,,4171.54,,4180.94,,0.05,,-34.95,,1627.88,,,False,SL
2026-07-06 09:52:00,,2026-07-06 09:57:00,,M1,BUY,,4178.19,,4171.61,,4180.58,,0.05,,-32.9,,1662.83,,,False,SL
2026-07-06 09:55:00,,2026-07-06 10:02:00,,M1,SELL,,4178.58,,4179.03,,4168.63,,0.75,,746.25,,3663.31,,,False,TP
2026-07-06 09:55:00,,2026-07-06 10:00:00,,M5,BUY,,4168.28,,4167.0,,4177.66,,0.26,,-33.28,,1624.93,,,False,SL
2026-07-06 10:05:00,,2026-07-06 10:05:00,,M5,SELL,,4178.52,,4179.84,,4168.77,,0.56,,546.0,,4209.31,,,False,TP
2026-07-06 10:09:00,,2026-07-06 10:10:00,,M1,BUY,,4167.19,,4165.09,,4169.66,,0.4,,98.8,,4308.11,,,False,TP
2026-07-06 10:11:00,,2026-07-06 10:11:00,,M1,BUY,,4168.84,,4166.17,,4171.29,,0.32,,78.4,,4386.51,,,False,TP
2026-07-06 10:15:00,,2026-07-06 10:19:00,,M1,SELL,,4167.34,,4168.16,,4164.99,,1.07,,251.45,,4550.4,,,False,TP
2026-07-06 10:17:00,,2026-07-06 10:17:00,,M1,SELL,,4167.16,,4167.6,,4164.94,,1.99,,-87.56,,4298.95,,,False,SL
2026-07-06 10:40:00,,2026-07-06 11:30:00,,M5,SELL,,4167.2,,4172.03,,4158.95,,0.19,,156.75,,4963.95,,,False,TP
2026-07-06 10:41:00,,2026-07-06 10:41:00,,M1,BUY,,4168.91,,4164.33,,4170.61,,0.2,,-91.6,,4458.8,,,False,SL
2026-07-06 10:42:00,,2026-07-06 10:42:00,,M1,SELL,,4168.83,,4169.18,,4167.07,,2.55,,448.8,,4907.6,,,False,TP
2026-07-06 11:00:00,,2026-07-06 11:02:00,,M1,BUY,,4168.84,,4163.82,,4170.45,,0.2,,-100.4,,4807.2,,,False,SL
2026-07-06 11:27:00,,2026-07-06 11:33:00,,M1,SELL,,4158.91,,4163.73,,4157.46,,0.2,,29.0,,4992.95,,,False,TP
2026-07-06 11:32:00,,2026-07-06 12:03:00,,M1,SELL,,4158.35,,4163.15,,4156.84,,0.21,,31.71,,6682.75,,,False,TP
2026-07-06 11:38:00,,2026-07-06 12:03:00,,M1,SELL,,4158.77,,4161.74,,4157.21,,0.34,,53.04,,6735.79,,,False,TP
2026-07-06 11:44:00,,2026-07-06 11:44:00,,M1,BUY,,4158.18,,4157.91,,4159.52,,3.7,,495.8,,5488.75,,,False,TP
2026-07-06 11:50:00,,2026-07-06 11:50:00,,M1,BUY,,4158.74,,4158.49,,4160.0,,4.39,,553.14,,6041.89,,,False,TP
2026-07-06 11:52:00,,2026-07-06 12:03:00,,M1,SELL,,4158.3,,4161.65,,4157.03,,0.36,,45.72,,6781.51,,,False,TP
2026-07-06 11:58:00,,2026-07-06 11:58:00,,M1,BUY,,4158.12,,4157.86,,4159.43,,4.65,,609.15,,6651.04,,,False,TP
2026-07-06 12:17:00,,2026-07-06 12:26:00,,M1,SELL,,4148.21,,4153.64,,4146.53,,0.25,,-135.75,,6645.76,,,False,SL
